rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score
1,0.9399774383966202,0.02581069502918017,0.9620579400356928,0.01157396854253178,0.09506063461303711,0.011857538589483246,0.0031435489654541016,7.201077873666541e-05,1e-05,0.01,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.01}",0.9169732002101945,0.979291237080766,0.9556802244039271,0.9697149387887496,0.9744715447154471,0.9473258827791868,0.9040694121960161,0.9617505691879584,0.9486928104575163,0.9522070723418028
1,0.9399774383966202,0.02581069502918017,0.9620579400356928,0.01157396854253178,0.09824752807617188,0.015430260120427631,0.0031122207641601563,3.398969384015673e-05,0.0001,0.01,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.01}",0.9169732002101945,0.979291237080766,0.9556802244039271,0.9697149387887496,0.9744715447154471,0.9473258827791868,0.9040694121960161,0.9617505691879584,0.9486928104575163,0.9522070723418028
1,0.9399774383966202,0.02581069502918017,0.9620579400356928,0.01157396854253178,0.09654231071472168,0.018813136737043087,0.0029514312744140627,0.0004599128231598427,0.001,0.01,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.01}",0.9169732002101945,0.979291237080766,0.9556802244039271,0.9697149387887496,0.9744715447154471,0.9473258827791868,0.9040694121960161,0.9617505691879584,0.9486928104575163,0.9522070723418028
4,0.9259319889587422,0.03613145962769021,0.9416727329094303,0.008995670916067684,0.12681398391723633,0.015750465320926842,0.003200531005859375,0.00014869377571864745,1e-05,0.001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.001}",0.8908263219932528,0.9536885880617554,0.9555519832817587,0.9472777841277099,0.9808419768151312,0.9441595441595442,0.8917021708257253,0.9348179925556747,0.9107374918778428,0.9284197556424674
4,0.9259319889587422,0.03613145962769021,0.9416727329094303,0.008995670916067684,0.12330870628356934,0.016495188697120373,0.003121089935302734,7.988913867229274e-05,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.8908263219932528,0.9536885880617554,0.9555519832817587,0.9472777841277099,0.9808419768151312,0.9441595441595442,0.8917021708257253,0.9348179925556747,0.9107374918778428,0.9284197556424674
4,0.9259319889587422,0.03613145962769021,0.9416727329094303,0.008995670916067684,0.12692899703979493,0.02029994698814563,0.0031957149505615233,0.00010978924720458238,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.8908263219932528,0.9536885880617554,0.9555519832817587,0.9472777841277099,0.9808419768151312,0.9441595441595442,0.8917021708257253,0.9348179925556747,0.9107374918778428,0.9284197556424674
7,0.8677268613461908,0.035046727808033626,0.8807778636534728,0.02543696183391968,0.33389711380004883,0.055178455463338064,0.003136348724365234,9.032073687330622e-05,1e-05,0.0001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.0001}",0.8162717029552107,0.848960505529226,0.917639039255784,0.9265246627661303,0.8917021708257253,0.8697940295798928,0.8471275559883155,0.8809016688889952,0.8658938377059182,0.8777084515031197
7,0.8677268613461908,0.035046727808033626,0.8807778636534728,0.02543696183391968,0.3371745586395264,0.057985914252940224,0.0031903266906738283,0.00018305606473574963,0.0001,0.0001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.0001}",0.8162717029552107,0.848960505529226,0.917639039255784,0.9265246627661303,0.8917021708257253,0.8697940295798928,0.8471275559883155,0.8809016688889952,0.8658938377059182,0.8777084515031197
7,0.8677268613461908,0.035046727808033626,0.8807778636534728,0.02543696183391968,0.344996976852417,0.060391226374608066,0.003110170364379883,4.540706719830828e-05,0.001,0.0001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.0001}",0.8162717029552107,0.848960505529226,0.917639039255784,0.9265246627661303,0.8917021708257253,0.8697940295798928,0.8471275559883155,0.8809016688889952,0.8658938377059182,0.8777084515031197
